DrugBank ID	SIDE EFFECT	MIN	MEAN	MAX	Drug name
DB00006	Abdominal pain	1.0	3.53333333333	4.83	Bivalirudin
DB00006	Angina pectoris	5.2	5.25	5.3	Bivalirudin
DB00006	Anxiety	5.88	6.195	6.51	Bivalirudin
DB00006	Atrial fibrillation	1.0	1.05	1.1	Bivalirudin
DB00006	Back pain	2.8	21.714285714299997	43.9	Bivalirudin
DB00006	Body temperature increased	1.0	2.9725	5.02	Bivalirudin
DB00006	Bradycardia	1.2	4.76	7.62	Bivalirudin
DB00006	Chest pain	2.3	3.13333333333	3.7	Bivalirudin
DB00006	Dyspepsia	4.63	4.895	5.16	Bivalirudin
DB00006	Ecchymosis	3.7	5.16666666667	6.0	Bivalirudin
DB00006	Epistaxis	1.4	1.65	1.9	Bivalirudin
DB00006	Gastrointestinal pain	1.0	3.53333333333	4.83	Bivalirudin
DB00006	Gingival bleeding	1.5	1.5	1.5	Bivalirudin
DB00006	Haematoma	2.2	5.4	7.5	Bivalirudin
DB00006	Haemoglobin	1.7	9.86842105263	28.0	Bivalirudin
DB00006	Haemorrhage	1.7	9.38595238095	28.0	Bivalirudin
DB00006	Haemorrhage intracranial	1.0	1.0	1.0	Bivalirudin
DB00006	Headache	2.6	6.6	12.2	Bivalirudin
DB00006	Hypertension	1.0	3.45	6.25	Bivalirudin
DB00006	Hypotension	1.6	7.385714285710001	17.2	Bivalirudin
DB00006	Injection site pain	2.7	7.81666666667	12.7	Bivalirudin
DB00006	Insomnia	1.4	3.9825	6.57	Bivalirudin
DB00006	Major bleed	2.3	4.8025	9.25	Bivalirudin
DB00006	Nausea	2.1	8.07142857143	16.1	Bivalirudin
DB00006	Nervousness	4.04	4.38	4.72	Bivalirudin
DB00006	Pain	2.4	10.54	16.6	Bivalirudin
DB00006	Pelvic pain	6.02	6.94	7.86	Bivalirudin
DB00006	Retroperitoneal haemorrhage	1.0	1.0	1.0	Bivalirudin
DB00006	Tension	4.04	4.38	4.72	Bivalirudin
DB00006	Thrombocytopenia	1.0	1.05	1.1	Bivalirudin
DB00006	Urinary retention	4.12	4.34	4.56	Bivalirudin
DB00006	Ventricular tachycardia	1.0	1.0	1.0	Bivalirudin
DB00006	Vomiting	1.0	5.08333333333	7.86	Bivalirudin
DB00106	Asthenia	9.88	9.88	9.88	Abarelix
DB00106	Back pain	17.3	17.3	17.3	Abarelix
