orig_food_common_name,orig_source_name,orig_content,cas_number
AMARANTH FLAKES,"Sugars, total",420.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
AMARANTH FLAKES,"Potassium, K",353.0,[K+]
AMARANTH FLAKES,"Phosphorus, P",331.0,P
APPLEBEE'S,Starch,34100.0,OCC1OC(O)C(O)C(O)C1O
ARCHWAY Home Style Cookies,"Sugars, total",45160.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Abiyuch,"Sugars, total",8550.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Abiyuch,Glucose (dextrose),4500.0,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O
Abiyuch,Fructose,3800.0,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O
Acedera de Guinea (Sp.),CELLULOSE,16800.0,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
Acedera de Guinea (Sp.),STARCH,11100.0,OCC1OC(O)C(O)C(O)C1O
Acedera de Guinea (Sp.),MALIC-ACID,6500.0,OC(CC(O)=O)C(O)=O
Aceituna Dulce,POTASSIUM,362.75,[K+]
Aceituna Dulce,BETULINIC-ACID,170.0,CC(=C)C1CCC2(CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12)C(O)=O
Acerola,"Vitamin C, total ascorbic acid",1677.6,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
Acerola,"Vitamin A, IU",767.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Acerola,"Potassium, K",146.0,[K+]
Acerola juice,"Sugars, total",4500.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Acerola juice,"Vitamin C, total ascorbic acid",1600.0,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
Acerola juice,"Vitamin A, IU",509.0,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
Acorn stew (Apache),Starch,6570.0,OCC1OC(O)C(O)C(O)C1O
Acorn stew (Apache),Glutamic acid,1510.0,N[C@@H](CCC(O)=O)C(O)=O
