type	sentence
1	The risk or severity of congestive heart failure and hypotension can be increased when #Drug1 is combined with #Drug2.
2	#Drug2 may decrease the excretion rate of #Drug1 which could result in a higher serum level.
3	The serum concentration of #Drug1 can be increased when it is combined with #Drug2.
4	The risk or severity of anemia and severe leukopenia can be increased when #Drug2 is combined with #Drug1.
38	The risk or severity of sedation and somnolence can be increased when #Drug2 is combined with #Drug1.
6	The serum concentration of the active metabolites of #Drug2 can be increased when #Drug2 is used in combination with #Drug1.
7	The risk or severity of myopathy and rhabdomyolysis can be increased when #Drug1 is combined with #Drug2.
8	The risk or severity of rhabdomyolysis, myoglobinuria, and elevated creatine kinase (CPK) can be increased when #Drug2 is combined with #Drug1.
9	The risk or severity of QTc prolongation, torsade de pointes, hypokalemia, hypomagnesemia, and cardiac arrest can be increased when #Drug1 is combined with #Drug2.
10	The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.
11	#Drug2 may decrease the cardiotoxic activities of #Drug1.
12	#Drug2 may increase the hyperkalemic activities of #Drug1.
13	#Drug2 can cause a decrease in the absorption of #Drug1 resulting in a reduced serum concentration and potentially a decrease in efficacy.
14	The risk or severity of edema formation can be increased when #Drug1 is combined with #Drug2.
15	#Drug1 may decrease the sedative activities of #Drug2.
16	The risk or severity of angioedema can be increased when #Drug1 is combined with #Drug2.
17	The excretion of #Drug1 can be decreased when combined with #Drug2.
18	The risk of a hypersensitivity reaction to #Drug1 is increased when it is combined with #Drug2.
19	#Drug1 may increase the fluid retaining activities of #Drug2.
20	The serum concentration of #Drug2 can be decreased when it is combined with #Drug1.
21	#Drug2 may increase the hypertensive activities of #Drug1.
22	#Drug2 may increase the nephrotoxic activities of #Drug1.
23	The protein binding of #Drug1 can be decreased when combined with #Drug2.
24	The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when #Drug1 is combined with #Drug2.
25	#Drug1 may increase the hypotensive and central nervous system depressant (CNS depressant) activities of #Drug2.
26	#Drug1 may increase the central nervous system depressant (CNS depressant) and hypertensive activities of #Drug2.
27	#Drug2 may increase the respiratory depressant activities of #Drug1.
28	The risk or severity of rhabdomyolysis can be increased when #Drug2 is combined with #Drug1.
29	#Drug2 may increase the analgesic activities of #Drug1.
30	The risk or severity of bleeding can be increased when #Drug1 is combined with #Drug2.
31	The risk or severity of hyponatremia can be increased when #Drug2 is combined with #Drug1.
32	The risk or severity of hypotension, nitritoid reactions, facial flushing, nausea, and vomiting can be increased when #Drug1 is combined with #Drug2.
33	The serum concentration of the active metabolites of #Drug2 can be reduced when #Drug2 is used in combination with #Drug1 resulting in a loss in efficacy.
34	#Drug2 may increase the central nervous system depressant (CNS depressant) activities of #Drug1.
35	#Drug1 may increase the cardiotoxic activities of #Drug2.
36	The risk or severity of convulsion can be increased when #Drug2 is combined with #Drug1.
37	#Drug2 may increase the stimulatory activities of #Drug1.
5	#Drug1 may increase the atrioventricular blocking (AV block) activities of #Drug2.
39	#Drug2 may increase the vasoconstricting activities of #Drug1.
