,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50
DB11068,8.217377767866736,-0.3003821581292107,-0.06730243110372643,0.09514694555920386,-0.28116013364586234,0.08395113624459768,0.4072458480968172,-0.013773458793955279,-0.584193062267528,0.1009388098425956,-0.282954744213648,0.07977948369215132,-0.1154244988933317,0.15930607045828413,0.04499335991398975,-0.109080975058342,0.05634682355569071,-0.0446762541452322,-0.08056720103601991,0.012697018046419551,0.0850251656294705,0.10198389553685862,0.12856757620901998,0.20657121323489702,-0.005045831402951714,0.13867997208958585,-0.30654113678050027,-0.16485312876479677,-0.14252719237270992,-0.037485852033420336,-0.09293395144006858,-0.21457958340821862,0.1359034987513955,0.00207383858097854,0.04899892043129828,0.09457004428851676,-0.3152954878254832,-0.01738326472985509,-0.013039700302650885,-0.15879098119336083,0.09385805161792274,0.008733231971248787,-0.23746694579837188,0.14942129566413195,0.09185949137477765,-0.03532575440584014,-0.02611015959828717,0.04021937878783896,-0.03982140943931802,0.03693701487483793
DB04824,0.2538084379969022,-2.5404706378264184,-1.4346573642150569,1.4992043354970417,0.47288910308080295,0.2076154449933902,0.65471738448754,0.6195464928044608,-0.24231862538899507,-0.1580817599113637,-0.48663814471567834,0.2877124969411885,0.1866981094830957,-0.18284636071870677,-0.16964505646624795,-0.2838689252239374,0.7777993236336761,-0.3171671520171088,0.14336380945892813,-0.04729691489583331,-0.18581354013058216,-0.1529127291828235,0.0030613999125983452,0.07414977286887439,0.030691992575336065,0.05267384099493205,0.23479669828191446,-0.2756780676598403,0.023994847743257764,-0.04448668013036444,0.1278923950488958,-0.09471210036831101,0.08214985563341803,0.057188822539340094,0.0829234144458346,0.05188265417945542,0.044619465542488974,-0.179114357401608,0.044164836178081264,0.07287169278096302,-0.12787888358502958,-0.02080267868092025,-0.038376116975315636,0.0772627512008953,0.01526371156533536,-0.011620083441398558,0.04048767139971397,-0.06486450445695363,-0.06944359155329231,0.038051895726759606
DB01298,-1.0322720388876052,-2.881959230265811,-0.1726794921465885,-0.19410148718456616,0.5539230985640182,0.10495060764987253,-0.6288564976880848,-0.5185298790539382,0.6321341091448701,-0.554995008010386,0.09509362307554554,-0.6365670822339589,0.20811980508725814,-0.04066730070502731,0.2617310010472649,0.661686035894635,0.12005378059334865,-0.047043292862840175,0.001263335058763691,0.2927775869356372,-0.008789755696659789,-0.346132135778884,0.15280226631623345,0.0865838148333418,-0.08593361119534783,-0.11248002355163565,-0.41529109876101145,-0.03904633212508231,0.142928454442483,-0.13270558686215925,0.07022076430837965,-0.14844182392269242,0.2647240798396004,0.14335051693223433,-0.3451765159456315,0.1621188309806167,-0.152420228458416,0.007515502321942545,0.034956098167049476,0.03991898509502462,0.04114590280634026,-0.045751088537319316,0.04052220523924954,0.0796485051826265,0.019423172825860598,0.053632132862428836,0.032777318715840116,-0.028038381279855792,-0.014381228139152704,-0.005531221817381259
DB00258,6.76097123760951,-0.8089309132151782,0.5512234726249121,-0.8263935049590638,-0.09884483022311924,-0.3159673863147859,0.928280247308108,-0.45860989117736906,-0.03576736229757344,0.7892325674820426,-0.023342361398892956,-0.2770564980608712,-0.5640063274658381,0.1995751102222222,0.5724686929574738,-0.024999851817036588,0.041786238899693476,0.23714143418336175,-0.40478375838611635,-0.3807858642192019,0.6579155980545818,-0.08490448424583236,-0.601403596519262,-0.3445452770145594,0.12259777921889115,0.38099890678753084,-0.026323943966431982,-0.12120780611404505,0.3082133820503566,-0.20999900866020493,0.21021965894312816,0.31098209223373185,0.2254272313889047,0.14346346943041832,-0.19498806794593165,-0.005484997074254574,-0.03968064048345522,-0.005480245107692246,-0.2444620608325171,-0.20176397908871344,0.005330840343669069,0.3142047157141832,-0.048527087573136764,-0.15710008652649476,-0.24204989370737248,0.00552558820367495,0.13542155475897952,-0.00639498018565738,-0.22367625424079715,0.12609480853426716
DB01299,-0.9070668295201577,-2.6123667886456308,0.1642453816752633,-0.3129631597136526,0.6483998153996484,0.3380422827181502,-0.5683628868979785,-0.2968213981508732,0.08007580428538795,-0.7087973702964532,0.09798444301743522,-0.8379594695823389,0.09995992282706838,-0.3125805512563809,0.2175288618444646,0.6838536735005902,0.16296080409806785,-0.07056645638762145,-0.06859379997191013,0.2322907333222069,-0.004179175113426702,-0.543348025411839,-0.11106592429388272,0.2914922725178304,-0.2885426922476818,-0.18673777664908983,-0.36136461573421313,0.08833575180669617,-0.0015434395147893316,-0.10708495547993482,0.04828825540301518,-0.022241513968235403,0.24051771282705744,0.18645484820150993,-0.26902945772802866,0.08224994776700945,-0.17865929177364637,-0.1413519629063919,-0.07012417344376774,0.02746773773628387,0.11840515237295215,-0.07123859359575012,-0.059188378349378595,0.10858308644534279,0.012484637271920965,0.11995140691741052,-0.013872593043438488,0.07251614339720369,0.03788739504147416,-0.12067925316591703
DB00804,-0.8313385707000482,3.969734351392343,0.07826760648611103,-0.7294674011378911,-0.3110883573699111,0.5622910595551479,0.418285388902291,-0.3696607042509406,0.4195040740924324,0.11471717660258855,0.11958159457100154,-0.2851952601152479,0.20117394652454515,-0.09349940487472513,0.2714553851912677,-0.1997686786637351,-0.14897366348341812,-0.3620463123494977,0.21868729609935667,0.06799493428691179,-0.04855234846951989,0.13246910211014656,-0.13264913935816292,0.16440749759598128,0.039975775054148815,0.16464277042582526,-0.03112215201503137,0.1351166597805527,-0.013296189570471444,-0.07769235528021606,-0.041694856905332936,-0.027005923735119605,-0.033854390213196306,-0.12909833034457835,0.027365920790619915,0.05913532028137154,0.14740796795675218,0.013461779903749227,0.030913788777303438,-0.09725376074031537,-0.0637563072686872,-0.09731066402306902,0.021681164677722936,0.00479167844755243,-0.10546600675961713,-0.030706805618989034,0.07267443726641216,0.1418162904661075,-0.0027610853171227308,0.10980822012043302
DB06410,-0.07054478395674295,4.334716604678534,0.0749718475851594,-0.10585577539961072,0.42581881923382686,0.6487310371333225,0.18055956110766933,0.05644114172553791,0.42872807923704814,0.07880547678184126,-0.17447234480817458,-0.02563916597992195,0.15860614831149378,-0.01650906992319125,0.17275733264595028,-0.23296770114305781,-0.29272553405096763,-0.5116616250806434,0.04170201674569188,-0.03788411740399412,-0.13970645489384956,0.08442343369998195,-0.1679801425485024,0.14349743946896473,-0.005441879905785853,-0.24516077259710242,-0.0012346157630880334,-0.09020179045065076,0.5116142492875498,0.1293452323670855,0.16253983712786926,0.08145936347128302,-0.17825902135509358,-0.1250794530665035,-0.026136372692389394,0.15833642537933768,-0.294741409459015,0.16347817283260255,0.005708318525623611,-0.15474756227625716,0.30872194068569825,0.12891802722223233,0.22678439726701324,0.16171863330899147,-0.19787407824508033,-0.018780386184537035,0.005723388239775303,0.09295157873290595,0.2540754464386844,-0.21704690367304372
DB06704,1.3417813685540834,-2.8203939544614323,-0.07152423064327745,-0.5873278746404316,0.6989408454475092,0.7969456606125185,-0.5689893491931408,-0.26276042217315904,0.07653962730997374,0.35504887763579585,0.5261112101461862,-0.27418522543532936,0.48846104553034037,0.24694522679427605,0.01108870865419823,-0.04259428630780264,-0.09792479289467364,0.12734592838078643,0.1046468539247571,0.1623699258652263,0.001014185605373575,-0.10558914518994464,0.0069518300217541575,-0.15091637436145633,0.07089667686780485,-0.08643531890431022,0.21976896770187862,-0.027929420839660712,0.030719068661578704,0.06830615126301473,0.07931692089036227,0.2085944303857511,-0.07477317924946285,0.0211697872754996,0.06550590682325297,-0.20284547165539793,0.0665040564030202,0.04856157875859153,-0.11328203941341329,-0.07382574247397097,0.11884817432478376,0.12299119335255815,-0.07846655896071082,-0.0729202404114083,0.07359222062943263,-0.08105988187815866,-0.1294652971053582,0.021334831097224775,0.013710990338025598,-0.047931170191407704
DB00346,-2.695538375866595,1.2400927302352258,0.5537240820322443,-0.28693468609448697,-0.320518723611478,-0.13313615746423568,-0.6602519406054962,-0.1632098433566346,-0.5362049350086274,-0.36788142536814145,-0.1263223049717036,-0.6957343626986262,0.004979245983756056,-0.07328477758592272,0.088394469101659,-0.14039187358891095,0.034913181845615565,0.11746114993049182,-0.10028372989021338,-0.14069563169497468,0.039319954318355346,-0.17257008517265862,-0.253058864100482,0.20153210269167648,-0.25300121435707834,-0.024821524657082473,0.09597494221343195,0.19354453317741802,-0.05548852875750004,-0.07523876521325487,-0.10850643447941562,0.19870725308365886,-0.09508804705873566,0.08641586997662007,-0.0010137797852426398,-0.037069650801517445,0.09193689866054161,-0.10734688934747895,-0.024644740071368486,0.05032149079979836,0.07978925708916079,-0.02039018433490594,-0.20413857220904486,0.03404988761748917,-0.028540546362311518,0.016424757825268928,-0.0955165648713759,0.2231460114679328,0.07139741041572419,-0.03433660257236783
DB13985,2.6129566744356225,2.113830506243491,-0.23181904946430015,2.205578359013056,1.1281485975806569,-0.5566699915919824,-0.10046858987352023,0.24123948941849507,0.1016527157701633,-0.0867734234510019,0.8657892733326121,0.14943971298147096,-0.29558303058793306,0.09932402904056525,-0.007809865995553448,-0.11794876360587495,0.1404619037516748,0.08831909691112813,0.21510484432537513,-0.028862459269977454,0.003301029706475951,0.27330991970810836,0.03019721554961883,0.00775919157925958,-0.0014735204132600294,-0.047584156856458296,0.01955184428044457,-0.014373384785849003,0.04997848000257654,0.002059721456065089,0.07641717259689275,-0.05590741137794348,0.025085530441510434,0.10731445380028226,-0.05573482588512124,-0.12588280403591953,0.008245037267715295,-0.11525668052019397,-0.025988491823573597,0.020214417323323013,-0.0563425166969308,-0.09345596658849056,-0.04005598966462039,-0.04540357758747036,0.08621924802734475,0.06673173092626285,0.023535982403538328,-0.046093368958578025,-0.0008970799516447611,0.00621503785532687
