orig_food_common_name,name,orig_content,orig_unit,cas_number
(capsicum anuum),Quercetin,5.07,mg/100 g,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
(cucumis melo),Delphinidin,0.0,mg/100 g,OC1=CC2=[O+]C(=C(O)C=C2C(O)=C1)C1=CC(O)=C(O)C(O)=C1
(ipomoea batatas),Luteolin,0.02,mg/100 g,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C(O)=C1
(lactuca sativa var. crispa),Delphinidin,0.0,mg/100 g,OC1=CC2=[O+]C(=C(O)C=C2C(O)=C1)C1=CC(O)=C(O)C(O)=C1
(medicago sativa),Luteolin,0.0,mg/100 g,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C(O)=C1
(purchased in the netherlands),Catechin 3-gallate,0.0,mg/100 g,OC1=CC(O)=C2CC(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(OC2=C1)C1=CC(O)=C(O)C=C1
(purchased in the united kingdom),Genistein,0.02,mg/100 g,OC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O
(vitis vinifera),Catechin 3-gallate,0.25,mg/100 g,OC1=CC(O)=C2CC(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(OC2=C1)C1=CC(O)=C(O)C=C1
100% barley malt reference beer,Acetaldehyde,6.75,mg/100g,CC=O
100% barley malt reference beer,Ethyl acetate,12.18,mg/100g,CCOC(C)=O
100% barley malt reference beer,Ethyl hexanoate,0.17,mg/100g,CCCCCC(=O)OCC
100% barley malt reference beer,Ethyl octanoate,0.19,mg/100g,CCCCCCCC(=O)OCC
100% barley malt reference beer,Isopentyl acetate,0.99,mg/100g,CC(C)CCOC(C)=O
100% barley malt reference beer,Isopentyl alcohol,53.81,mg/100g,CC(C)CCO
20% buckwheat malt beer,Acetaldehyde,7.12,mg/100g,CC=O
20% buckwheat malt beer,Ethyl acetate,13.9,mg/100g,CCOC(C)=O
20% buckwheat malt beer,Ethyl hexanoate,0.13,mg/100g,CCCCCC(=O)OCC
20% buckwheat malt beer,Ethyl octanoate,0.16,mg/100g,CCCCCCCC(=O)OCC
20% buckwheat malt beer,Isopentyl acetate,1.1,mg/100g,CC(C)CCOC(C)=O
20% buckwheat malt beer,Isopentyl alcohol,55.12,mg/100g,CC(C)CCO
20% buckwheat malt beer,Quercetin,2.47,mg/100g,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
20% buckwheat malt beer,Quercetin 3-rutinoside,0.34,mg/100g,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
40% buckwheat malt beer,Acetaldehyde,7.01,mg/100g,CC=O
40% buckwheat malt beer,Ethyl acetate,14.69,mg/100g,CCOC(C)=O
