DB00005	Etanercept	Prostaglandin G/H synthase 2	Human	P35354	inhibitor
DB00006	Bivalirudin	Myeloperoxidase	Human	P05164	inhibitor
DB00008	Peginterferon alfa-2a	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00022	Peginterferon alfa-2b	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00022	Peginterferon alfa-2b	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00025	Antihemophilic factor, human recombinant	Prothrombin	Human	P00734	activator
DB00025	Antihemophilic factor, human recombinant	Vitamin K-dependent protein C	Human	P04070	inactivator
DB00030	Insulin Human	Cytochrome P450 1A2	Human	P05177	inducer
DB00033	Interferon gamma-1b	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00035	Desmopressin	Prostaglandin G/H synthase 1	Human	P23219	inducer
DB00035	Desmopressin	Prostaglandin G/H synthase 2	Human	P35354	inducer
DB00041	Aldesleukin	Prostaglandin G/H synthase 2	Human	P35354	inducer
DB00041	Aldesleukin	Cytosolic phospholipase A2	Human	P47712	inducer
DB00041	Aldesleukin	Cytochrome P450 3A4	Human	P08684	inhibitor
DB00041	Aldesleukin	Xanthine dehydrogenase/oxidase	Human	P47989	inducer
DB00041	Aldesleukin	Cytochrome P450 2E1	Human	P05181	inhibitor
DB00046	Insulin Lispro	Cytochrome P450 1A2	Human	P05177	inducer
DB00047	Insulin Glargine	Cytochrome P450 1A2	Human	P05177	inducer
DB00071	Insulin Pork	Cytochrome P450 1A2	Human	P05177	inducer
DB00072	Trastuzumab	Cytochrome P450 19A1	Human	P11511	inhibitor
DB00082	Pegvisomant	Sterol 26-hydroxylase, mitochondrial	Human	Q02318	inducer
DB00082	Pegvisomant	Glutamine synthetase	Human	P15104	inhibitor
DB00082	Pegvisomant	Cytochrome P450 2C18	Human	P33260	inhibitor
DB00082	Pegvisomant	Cytochrome P450 3A4	Human	P08684	inducer
DB00082	Pegvisomant	Cholinesterase	Human	P06276	inhibitor
DB00082	Pegvisomant	Cytochrome P450 2C19	Human	P33261	inhibitor
DB00082	Pegvisomant	Cytochrome P450 4A11	Human	Q02928	inhibitor
DB00086	Streptokinase	Cytosolic phospholipase A2	Human	P47712	inducer
DB00091	Cyclosporine	Cytochrome P450 3A4	None	None	None
DB00091	Cyclosporine	Cytochrome P450 3A7	Human	P24462	substrate
DB00091	Cyclosporine	Cytochrome P450 3A5	Human	P20815	substrate
DB00091	Cyclosporine	Cytochrome P450 3A4	Human	P08684	substrate
DB00091	Cyclosporine	Cytochrome P450 2C19	Human	P33261	inhibitor
